Entity,Code,Year,Population - Sex: all - Age: all - Variant: estimates
Australia,AUS,2000,19132473
Australia,AUS,2001,19365437
Australia,AUS,2002,19595357
Australia,AUS,2003,19819450
Australia,AUS,2004,20046680
Australia,AUS,2005,20294490
Australia,AUS,2006,20590565
Australia,AUS,2007,20954545
Australia,AUS,2008,21370595
Australia,AUS,2009,21783014
Australia,AUS,2010,22141583
Australia,AUS,2011,22479778
Australia,AUS,2012,22852649
Australia,AUS,2013,23236271
Australia,AUS,2014,23595599
Australia,AUS,2015,23947998
Australia,AUS,2016,24329961
Australia,AUS,2017,24731044
Australia,AUS,2018,25119700
Australia,AUS,2019,25482714
Austria,AUT,2000,8012929
Austria,AUT,2001,8042232
Austria,AUT,2002,8081638
Austria,AUT,2003,8122605
Austria,AUT,2004,8173494
Austria,AUT,2005,8229204
Austria,AUT,2006,8269902
Austria,AUT,2007,8296949
Austria,AUT,2008,8323250
Austria,AUT,2009,8345072
Austria,AUT,2010,8365087
Austria,AUT,2011,8393272
Austria,AUT,2012,8431598
Austria,AUT,2013,8481411
Austria,AUT,2014,8547812
Austria,AUT,2015,8644037
Austria,AUT,2016,8737920
Austria,AUT,2017,8798780
Austria,AUT,2018,8841652
Austria,AUT,2019,8880875
Belgium,BEL,2000,10251719
Belgium,BEL,2001,10287004
Belgium,BEL,2002,10332978
Belgium,BEL,2003,10376260
Belgium,BEL,2004,10421298
Belgium,BEL,2005,10478883
Belgium,BEL,2006,10548446
Belgium,BEL,2007,10625490
Belgium,BEL,2008,10709710
Belgium,BEL,2009,10812936
Belgium,BEL,2010,10936620
Belgium,BEL,2011,11038627
Belgium,BEL,2012,11107524
Belgium,BEL,2013,11160277
Belgium,BEL,2014,11210111
Belgium,BEL,2015,11275332
Belgium,BEL,2016,11332704
Belgium,BEL,2017,11376583
Belgium,BEL,2018,11428609
Belgium,BEL,2019,11490622
Canada,CAN,2000,30891800
Canada,CAN,2001,31213577
Canada,CAN,2002,31535580
Canada,CAN,2003,31836484
Canada,CAN,2004,32132680
Canada,CAN,2005,32440173
Canada,CAN,2006,32759174
Canada,CAN,2007,33092172
Canada,CAN,2008,33449089
Canada,CAN,2009,33826369
Canada,CAN,2010,34196901
Canada,CAN,2011,34555450
Canada,CAN,2012,34922512
Canada,CAN,2013,35293420
Canada,CAN,2014,35634265
Canada,CAN,2015,35962236
Canada,CAN,2016,36353345
Canada,CAN,2017,36808500
Canada,CAN,2018,37294997
Canada,CAN,2019,37782931
Costa Rica,CRI,2000,3937737
Costa Rica,CRI,2001,4008950
Costa Rica,CRI,2002,4075712
Costa Rica,CRI,2003,4138790
Costa Rica,CRI,2004,4200080
Costa Rica,CRI,2005,4261240
Costa Rica,CRI,2006,4321339
Costa Rica,CRI,2007,4380249
Costa Rica,CRI,2008,4440057
Costa Rica,CRI,2009,4499788
Costa Rica,CRI,2010,4555965
Costa Rica,CRI,2011,4609834
Costa Rica,CRI,2012,4663932
Costa Rica,CRI,2013,4716153
Costa Rica,CRI,2014,4767126
Costa Rica,CRI,2015,4818044
Costa Rica,CRI,2016,4867002
Costa Rica,CRI,2017,4913177
Costa Rica,CRI,2018,4957814
Costa Rica,CRI,2019,4999551
Czechia,CZE,2000,10236809
Czechia,CZE,2001,10231941
Czechia,CZE,2002,10239474
Czechia,CZE,2003,10248907
Czechia,CZE,2004,10261454
Czechia,CZE,2005,10280158
Czechia,CZE,2006,10304594
Czechia,CZE,2007,10337541
Czechia,CZE,2008,10378296
Czechia,CZE,2009,10420986
Czechia,CZE,2010,10464035
Czechia,CZE,2011,10495508
Czechia,CZE,2012,10507338
Czechia,CZE,2013,10511164
Czechia,CZE,2014,10517222
Czechia,CZE,2015,10524419
Czechia,CZE,2016,10531947
Czechia,CZE,2017,10541343
Czechia,CZE,2018,10548935
Czechia,CZE,2019,10554871
Denmark,DNK,2000,5339660
Denmark,DNK,2001,5358825
Denmark,DNK,2002,5375966
Denmark,DNK,2003,5390622
Denmark,DNK,2004,5404594
Denmark,DNK,2005,5419551
Denmark,DNK,2006,5437421
Denmark,DNK,2007,5461604
Denmark,DNK,2008,5493766
Denmark,DNK,2009,5523168
Denmark,DNK,2010,5547866
Denmark,DNK,2011,5570846
Denmark,DNK,2012,5591912
Denmark,DNK,2013,5615334
Denmark,DNK,2014,5643793
Denmark,DNK,2015,5683698
Denmark,DNK,2016,5728198
Denmark,DNK,2017,5765168
Denmark,DNK,2018,5793825
Denmark,DNK,2019,5814619
Estonia,EST,2000,1397001
Estonia,EST,2001,1388174
Estonia,EST,2002,1379438
Estonia,EST,2003,1370849
Estonia,EST,2004,1362682
Estonia,EST,2005,1354847
Estonia,EST,2006,1346884
Estonia,EST,2007,1340709
Estonia,EST,2008,1337078
Estonia,EST,2009,1334528
Estonia,EST,2010,1331450
Estonia,EST,2011,1327366
Estonia,EST,2012,1322616
Estonia,EST,2013,1317921
Estonia,EST,2014,1314456
Estonia,EST,2015,1314581
Estonia,EST,2016,1315850
Estonia,EST,2017,1317432
Estonia,EST,2018,1321971
Estonia,EST,2019,1326821
Finland,FIN,2000,5176198
Finland,FIN,2001,5187973
Finland,FIN,2002,5200549
Finland,FIN,2003,5212955
Finland,FIN,2004,5228144
Finland,FIN,2005,5246083
Finland,FIN,2006,5266247
Finland,FIN,2007,5288716
Finland,FIN,2008,5313381
Finland,FIN,2009,5338855
Finland,FIN,2010,5363347
Finland,FIN,2011,5388236
Finland,FIN,2012,5413978
Finland,FIN,2013,5439058
Finland,FIN,2014,5461686
Finland,FIN,2015,5479718
Finland,FIN,2016,5495469
Finland,FIN,2017,5508399
Finland,FIN,2018,5515732
Finland,FIN,2019,5521755
France,FRA,2000,59483716
France,FRA,2001,59905130
France,FRA,2002,60327247
France,FRA,2003,60741121
France,FRA,2004,61175243
France,FRA,2005,61625030
France,FRA,2006,62049831
France,FRA,2007,62432438
France,FRA,2008,62780187
France,FRA,2009,63106461
France,FRA,2010,63417366
France,FRA,2011,63733777
France,FRA,2012,64058465
France,FRA,2013,64387736
France,FRA,2014,64692495
France,FRA,2015,64916336
France,FRA,2016,65086852
France,FRA,2017,65284775
France,FRA,2018,65519539
France,FRA,2019,65729460
Germany,DEU,2000,81797255
Germany,DEU,2001,81933883
Germany,DEU,2002,82068328
Germany,DEU,2003,82111619
Germany,DEU,2004,82092706
Germany,DEU,2005,82046731
Germany,DEU,2006,81701971
Germany,DEU,2007,81298546
Germany,DEU,2008,81110781
Germany,DEU,2009,80935275
Germany,DEU,2010,80830917
Germany,DEU,2011,80857877
Germany,DEU,2012,80916393
Germany,DEU,2013,81041580
Germany,DEU,2014,81376078
Germany,DEU,2015,82077546
Germany,DEU,2016,82760100
Germany,DEU,2017,83104012
Germany,DEU,2018,83368506
Germany,DEU,2019,83559185
Hungary,HUN,2000,10190596
Hungary,HUN,2001,10166692
Hungary,HUN,2002,10138462
Hungary,HUN,2003,10108970
Hungary,HUN,2004,10085789
Hungary,HUN,2005,10065704
Hungary,HUN,2006,10049947
Hungary,HUN,2007,10034084
Hungary,HUN,2008,10016655
Hungary,HUN,2009,10001382
Hungary,HUN,2010,9979129
Hungary,HUN,2011,9946675
Hungary,HUN,2012,9916620
Hungary,HUN,2013,9889344
Hungary,HUN,2014,9862843
Hungary,HUN,2015,9839210
Hungary,HUN,2016,9810530
Hungary,HUN,2017,9785606
Hungary,HUN,2018,9774395
Hungary,HUN,2019,9770346
Iceland,ISL,2000,281294
Iceland,ISL,2001,285060
Iceland,ISL,2002,287609
Iceland,ISL,2003,289615
Iceland,ISL,2004,292171
Iceland,ISL,2005,296851
Iceland,ISL,2006,303883
Iceland,ISL,2007,311661
Iceland,ISL,2008,317519
Iceland,ISL,2009,318619
Iceland,ISL,2010,318163
Iceland,ISL,2011,319140
Iceland,ISL,2012,320847
Iceland,ISL,2013,323891
Iceland,ISL,2014,327516
Iceland,ISL,2015,330962
Iceland,ISL,2016,335572
Iceland,ISL,2017,343536
Iceland,ISL,2018,352861
Iceland,ISL,2019,360709
Ireland,IRL,2000,3802590
Ireland,IRL,2001,3862978
Ireland,IRL,2002,3928440
Ireland,IRL,2003,3992938
Ireland,IRL,2004,4066064
Ireland,IRL,2005,4155282
Ireland,IRL,2006,4268774
Ireland,IRL,2007,4393518
Ireland,IRL,2008,4485992
Ireland,IRL,2009,4533750
Ireland,IRL,2010,4559083
Ireland,IRL,2011,4579604
Ireland,IRL,2012,4600137
Ireland,IRL,2013,4624687
Ireland,IRL,2014,4658237
Ireland,IRL,2015,4702497
Ireland,IRL,2016,4753505
Ireland,IRL,2017,4810258
Ireland,IRL,2018,4872557
Ireland,IRL,2019,4933491
Israel,ISR,2000,6111195
Israel,ISR,2001,6259977
Israel,ISR,2002,6387714
Israel,ISR,2003,6502821
Israel,ISR,2004,6615084
Israel,ISR,2005,6728208
Israel,ISR,2006,6844028
Israel,ISR,2007,6962456
Israel,ISR,2008,7082621
Israel,ISR,2009,7206096
Israel,ISR,2010,7336737
Israel,ISR,2011,7471021
Israel,ISR,2012,7607784
Israel,ISR,2013,7749369
Israel,ISR,2014,7897173
Israel,ISR,2015,8052915
Israel,ISR,2016,8210005
Israel,ISR,2017,8361796
Israel,ISR,2018,8510068
Israel,ISR,2019,8657466
Italy,ITA,2000,57272200
Italy,ITA,2001,57305758
Italy,ITA,2002,57420635
Italy,ITA,2003,57739696
Italy,ITA,2004,58176735
Italy,ITA,2005,58519697
Italy,ITA,2006,58754433
Italy,ITA,2007,59108723
Italy,ITA,2008,59561686
Italy,ITA,2009,59904016
Italy,ITA,2010,60164212
Italy,ITA,2011,60367882
Italy,ITA,2012,60531522
Italy,ITA,2013,60653865
Italy,ITA,2014,60664169
Italy,ITA,2015,60575314
Italy,ITA,2016,60478103
Italy,ITA,2017,60390317
Italy,ITA,2018,60277496
Italy,ITA,2019,60130136
Luxembourg,LUX,2000,436142
Luxembourg,LUX,2001,441755
Luxembourg,LUX,2002,446393
Luxembourg,LUX,2003,451845
Luxembourg,LUX,2004,458307
Luxembourg,LUX,2005,465372
Luxembourg,LUX,2006,472871
Luxembourg,LUX,2007,480277
Luxembourg,LUX,2008,488995
Luxembourg,LUX,2009,498195
Luxembourg,LUX,2010,507418
Luxembourg,LUX,2011,518583
Luxembourg,LUX,2012,530952
Luxembourg,LUX,2013,543359
Luxembourg,LUX,2014,556285
Luxembourg,LUX,2015,569541
Luxembourg,LUX,2016,583511
Luxembourg,LUX,2017,596505
Luxembourg,LUX,2018,608108
Luxembourg,LUX,2019,620166
Mexico,MEX,2000,98625554
Mexico,MEX,2001,100099100
Mexico,MEX,2002,101548627
Mexico,MEX,2003,102978518
Mexico,MEX,2004,104394132
Mexico,MEX,2005,105811502
Mexico,MEX,2006,107253666
Mexico,MEX,2007,108774357
Mexico,MEX,2008,110374285
Mexico,MEX,2009,111999721
Mexico,MEX,2010,113623897
Mexico,MEX,2011,115243504
Mexico,MEX,2012,116818209
Mexico,MEX,2013,118343571
Mexico,MEX,2014,119784263
Mexico,MEX,2015,121072310
Mexico,MEX,2016,122251345
Mexico,MEX,2017,123400054
Mexico,MEX,2018,124573714
Mexico,MEX,2019,125762977
Netherlands,NLD,2000,16058758
Netherlands,NLD,2001,16182705
Netherlands,NLD,2002,16288060
Netherlands,NLD,2003,16366914
Netherlands,NLD,2004,16425561
Netherlands,NLD,2005,16465707
Netherlands,NLD,2006,16493851
Netherlands,NLD,2007,16531360
Netherlands,NLD,2008,16597257
Netherlands,NLD,2009,16684147
Netherlands,NLD,2010,16771232
Netherlands,NLD,2011,16851061
Netherlands,NLD,2012,16915191
Netherlands,NLD,2013,16967065
Netherlands,NLD,2014,17030087
Netherlands,NLD,2015,17107427
Netherlands,NLD,2016,17204694
Netherlands,NLD,2017,17315375
Netherlands,NLD,2018,17421284
Netherlands,NLD,2019,17537506
New Zealand,NZL,2000,3857576
New Zealand,NZL,2001,3891763
New Zealand,NZL,2002,3951114
New Zealand,NZL,2003,4022585
New Zealand,NZL,2004,4083911
New Zealand,NZL,2005,4135004
New Zealand,NZL,2006,4181942
New Zealand,NZL,2007,4223268
New Zealand,NZL,2008,4261819
New Zealand,NZL,2009,4304304
New Zealand,NZL,2010,4347767
New Zealand,NZL,2011,4382702
New Zealand,NZL,2012,4411682
New Zealand,NZL,2013,4453859
New Zealand,NZL,2014,4522977
New Zealand,NZL,2015,4614037
New Zealand,NZL,2016,4714768
New Zealand,NZL,2017,4812748
New Zealand,NZL,2018,4900844
New Zealand,NZL,2019,4989412
Poland,POL,2000,38258076
Poland,POL,2001,38247357
Poland,POL,2002,38229406
Poland,POL,2003,38203525
Poland,POL,2004,38167567
Poland,POL,2005,38124377
Poland,POL,2006,38071170
Poland,POL,2007,38020420
Poland,POL,2008,37995902
Poland,POL,2009,38002154
Poland,POL,2010,38095356
Poland,POL,2011,38208644
Poland,POL,2012,38247868
Poland,POL,2013,38259266
Poland,POL,2014,38265113
Poland,POL,2015,38266314
Poland,POL,2016,38263259
Poland,POL,2017,38254964
Poland,POL,2018,38241070
Poland,POL,2019,38225884
Portugal,PRT,2000,10283196
Portugal,PRT,2001,10354328
Portugal,PRT,2002,10413046
Portugal,PRT,2003,10454245
Portugal,PRT,2004,10481384
Portugal,PRT,2005,10502994
Portugal,PRT,2006,10524122
Portugal,PRT,2007,10546821
Portugal,PRT,2008,10564085
Portugal,PRT,2009,10576264
Portugal,PRT,2010,10578659
Portugal,PRT,2011,10557049
Portugal,PRT,2012,10513154
Portugal,PRT,2013,10458286
Portugal,PRT,2014,10406202
Portugal,PRT,2015,10370266
Portugal,PRT,2016,10346377
Portugal,PRT,2017,10330836
Portugal,PRT,2018,10325353
Portugal,PRT,2019,10343218
Slovakia,SVK,2000,5380001
Slovakia,SVK,2001,5379439
Slovakia,SVK,2002,5377685
Slovakia,SVK,2003,5376198
Slovakia,SVK,2004,5376039
Slovakia,SVK,2005,5376696
Slovakia,SVK,2006,5376847
Slovakia,SVK,2007,5376995
Slovakia,SVK,2008,5379125
Slovakia,SVK,2009,5385074
Slovakia,SVK,2010,5391857
Slovakia,SVK,2011,5398104
Slovakia,SVK,2012,5404877
Slovakia,SVK,2013,5410422
Slovakia,SVK,2014,5415237
Slovakia,SVK,2015,5420279
Slovakia,SVK,2016,5427262
Slovakia,SVK,2017,5435704
Slovakia,SVK,2018,5443230
Slovakia,SVK,2019,5450626
Slovenia,SVN,2000,1986818
Slovenia,SVN,2001,1989685
Slovenia,SVN,2002,1991573
Slovenia,SVN,2003,1992502
Slovenia,SVN,2004,1993549
Slovenia,SVN,2005,1996914
Slovenia,SVN,2006,2003113
Slovenia,SVN,2007,2014161
Slovenia,SVN,2008,2025090
Slovenia,SVN,2009,2035611
Slovenia,SVN,2010,2044612
Slovenia,SVN,2011,2048805
Slovenia,SVN,2012,2053321
Slovenia,SVN,2013,2056452
Slovenia,SVN,2014,2058396
Slovenia,SVN,2015,2059947
Slovenia,SVN,2016,2061379
Slovenia,SVN,2017,2062410
Slovenia,SVN,2018,2069484
Slovenia,SVN,2019,2083436
South Korea,KOR,2000,46766659
South Korea,KOR,2001,47043466
South Korea,KOR,2002,47299118
South Korea,KOR,2003,47514158
South Korea,KOR,2004,47697076
South Korea,KOR,2005,47851646
South Korea,KOR,2006,48006518
South Korea,KOR,2007,48178122
South Korea,KOR,2008,48356486
South Korea,KOR,2009,48546689
South Korea,KOR,2010,48769330
South Korea,KOR,2011,49127641
South Korea,KOR,2012,49599579
South Korea,KOR,2013,50071168
South Korea,KOR,2014,50539055
South Korea,KOR,2015,50983908
South Korea,KOR,2016,51297837
South Korea,KOR,2017,51486268
South Korea,KOR,2018,51640894
South Korea,KOR,2019,51767843
Spain,ESP,2000,41019773
Spain,ESP,2001,41245604
Spain,ESP,2002,41755702
Spain,ESP,2003,42506541
Spain,ESP,2004,43234563
Spain,ESP,2005,43958884
Spain,ESP,2006,44695446
Spain,ESP,2007,45516501
Spain,ESP,2008,46235055
Spain,ESP,2009,46635182
Spain,ESP,2010,46840470
Spain,ESP,2011,46998040
Spain,ESP,2012,47018321
Spain,ESP,2013,46860393
Spain,ESP,2014,46720186
Spain,ESP,2015,46683683
Spain,ESP,2016,46732766
Spain,ESP,2017,46868594
Spain,ESP,2018,47092817
Spain,ESP,2019,47435120
Switzerland,CHE,2000,7184003
Switzerland,CHE,2001,7226391
Switzerland,CHE,2002,7278744
Switzerland,CHE,2003,7333450
Switzerland,CHE,2004,7384196
Switzerland,CHE,2005,7431824
Switzerland,CHE,2006,7478514
Switzerland,CHE,2007,7545386
Switzerland,CHE,2008,7641729
Switzerland,CHE,2009,7737642
Switzerland,CHE,2010,7825751
Switzerland,CHE,2011,7914378
Switzerland,CHE,2012,7998927
Switzerland,CHE,2013,8091197
Switzerland,CHE,2014,8190238
Switzerland,CHE,2015,8283940
Switzerland,CHE,2016,8374902
Switzerland,CHE,2017,8453628
Switzerland,CHE,2018,8516339
Switzerland,CHE,2019,8577526
Turkey,TUR,2000,65425958
Turkey,TUR,2001,66245126
Turkey,TUR,2002,67048793
Turkey,TUR,2003,67831736
Turkey,TUR,2004,68592621
Turkey,TUR,2005,69329555
Turkey,TUR,2006,70045352
Turkey,TUR,2007,70750595
Turkey,TUR,2008,71562344
Turkey,TUR,2009,72464845
Turkey,TUR,2010,73346766
Turkey,TUR,2011,74215200
Turkey,TUR,2012,75197195
Turkey,TUR,2013,76403032
Turkey,TUR,2014,78036154
Turkey,TUR,2015,80014221
Turkey,TUR,2016,81652086
Turkey,TUR,2017,83083668
Turkey,TUR,2018,84415966
Turkey,TUR,2019,85357671
United Kingdom,GBR,2000,59057336
United Kingdom,GBR,2001,59288095
United Kingdom,GBR,2002,59540763
United Kingdom,GBR,2003,59820385
United Kingdom,GBR,2004,60169964
United Kingdom,GBR,2005,60596108
United Kingdom,GBR,2006,61051093
United Kingdom,GBR,2007,61535860
United Kingdom,GBR,2008,62027303
United Kingdom,GBR,2009,62506221
United Kingdom,GBR,2010,63006484
United Kingdom,GBR,2011,63509285
United Kingdom,GBR,2012,63960487
United Kingdom,GBR,2013,64389386
United Kingdom,GBR,2014,64865914
United Kingdom,GBR,2015,65382107
United Kingdom,GBR,2016,65893359
United Kingdom,GBR,2017,66354474
United Kingdom,GBR,2018,66752473
United Kingdom,GBR,2019,67110958
United States,USA,2000,281484127
United States,USA,2001,284279629
United States,USA,2002,287084336
United States,USA,2003,289908091
United States,USA,2004,292786247
United States,USA,2005,295716665
United States,USA,2006,298730210
United States,USA,2007,301844227
United States,USA,2008,304970328
United States,USA,2009,308023451
United States,USA,2010,311062786
United States,USA,2011,314105078
United States,USA,2012,317115348
United States,USA,2013,320110753
United States,USA,2014,323115378
United States,USA,2015,326126498
United States,USA,2016,329179421
United States,USA,2017,332204656
United States,USA,2018,335056495
United States,USA,2019,337790068